ctl_loading,date_of,quotes_number,date_of_numeric
164246313,2022-08-31,1.9579815273560257,1661904000000000000
371367084,2023-10-29,1.6795319130687858,1698537600000000000
376949875,2019-11-12,-12.423508156300898,1573516800000000000
434605075,2022-09-06,-15.980726492457336,1662422400000000000
434605075,2022-09-06,-15.980726492457336,1662422400000000000
435359277,2023-08-11,6.204695311423279,1691712000000000000
435359277,2023-08-11,335.2046953114233,1691712000000000000
563358975,2022-11-23,1.6528045322359048,1669161600000000000
657988767,2024-02-28,5.630123405218001,1709078400000000000
711017005,2019-06-06,-13.896721345722312,1559779200000000000
716398857,2023-12-15,3.0490222205190776,1702598400000000000
776783702,2019-08-14,-0.8484426852600677,1565740800000000000
999592206,2021-03-03,16.620979264833977,1614729600000000000
1001368036,2020-04-25,-0.8309341312713627,1587772800000000000
1018780453,2021-07-22,15.791874889503049,1626912000000000000
1041915971,2019-06-30,-30.86386090001031,1561852800000000000
1052754557,2020-05-21,3.605918478218314,1590019200000000000
1118175912,2021-10-29,28.106685019106237,1635465600000000000
1156595156,2019-06-16,-18.46507665282519,1560643200000000000
1182431933,2019-05-15,-0.05941243814294239,1557878400000000000
1202842069,2020-12-24,16.77485994103654,1608768000000000000
1258560136,2023-12-04,5.992547895658959,1701648000000000000
1335539969,2022-04-10,-13.442561887441457,1649548800000000000
1413620832,2020-03-19,-2.221832889695463,1584576000000000000
1413620832,2020-03-19,-2.221832889695463,1584576000000000000
1416020948,2024-01-13,1.9495664077304582,1705104000000000000
1417174750,2020-05-13,-26.005398479098176,1589328000000000000
1495298791,2022-09-14,1.2584595144952573,1663113600000000000
1504176871,2019-05-08,32.38068298074296,1557273600000000000
1558782631,2023-12-03,2.238982694929234,1701561600000000000
1625669267,2020-03-25,-2.9538958150398003,1585094400000000000
1629646736,2023-03-18,2.854252039579592,1679097600000000000
1632097781,2020-05-12,231.93016984491703,1589241600000000000
1632097781,2020-05-12,-2.0698301550829683,1589241600000000000
1651519093,2019-05-24,-8.602925338252817,1558656000000000000
1744462032,2019-04-22,21.0118434482348,1555891200000000000
1744462032,2019-04-22,21.0118434482348,1555891200000000000
1745809778,2022-05-04,25.076564023901653,1651622400000000000
1766155991,2022-03-10,-16.079756763709895,1646870400000000000
1786399047,2020-08-18,-0.2967659622848373,1597708800000000000
1854730564,2023-01-25,23.12342663435203,1674604800000000000
1854730564,2023-01-25,23.12342663435203,1674604800000000000
1856666885,2022-07-13,20.21752969520378,1657670400000000000
1860969111,2021-06-15,-15.519252380751595,1623715200000000000
1884005607,2024-02-29,33.981073519532345,1709164800000000000
2009277163,2020-08-19,-23.19998596225787,1597795200000000000
2064865659,2020-09-22,21.023943058444672,1600732800000000000
2064865659,2020-09-22,21.023943058444672,1600732800000000000
2082923704,2023-03-21,3.734502430695102,1679356800000000000
2134866183,2023-01-14,-15.630289928201819,1673654400000000000
2156910803,2021-09-06,0.257426423658103,1630886400000000000
2246074507,2023-05-14,-31.743846833142015,1684022400000000000
2260564727,2023-05-03,-31.330732439562382,1683072000000000000
2405911819,2023-05-02,2.033979713343001,1682985600000000000
2467249576,2022-12-03,-6.313025057724474,1670025600000000000
2492591026,2021-11-11,-5.328846889125316,1636588800000000000
2500564934,2020-08-07,-2.9707621323706803,1596758400000000000
2500564934,2020-08-07,-2.9707621323706803,1596758400000000000
2566978866,2019-10-09,30.316765581170557,1570579200000000000
2624047016,2020-07-05,-2.897378819262258,1593907200000000000
2665755041,2023-08-12,2.6252403808786653,1691798400000000000
